"lang" { 
"GameUI_JoystickDuckZoomMode"	"Mode Accroupi/Zoom"
"[english]GameUI_JoystickDuckZoomMode"	"Duck/Zoom mode"
"GameUI_JoystickDuckMode"	"Mode Accroupi"
"[english]GameUI_JoystickDuckMode"	"Duck mode"
"GameUI_JoystickSprintMode"	"Sprint avec le stick analogique"
"[english]GameUI_JoystickSprintMode"	"Sticky Sprint"
"GameUI_AutoAim" 		"Cible auto"
"[english]GameUI_AutoAim" 		"Auto-Aim"
"GameUI_AutoaimLabel"		"Cible automatiquement les ennemis"
"[english]GameUI_AutoaimLabel"		"Aims at enemies automatically."
"GameUI_ContentLock"		"Verrouiller"
"[english]GameUI_ContentLock"		"Content lock"
"GameUI_ContentLockLabel"	"Cliquez sur ce bouton et entrez le mot de passe pour désactiver
les éléments visuels inadéquats pour les jeunes joueurs."
"[english]GameUI_ContentLockLabel"	"Press this button and enter password to disable
visuals inappropriate for younger players."
"GameUI_ContentStatusDisabled"	"Entrez un mot de passe pour activer le verrouillage du contenu."
"[english]GameUI_ContentStatusDisabled"	"Enter a password to enable the content lock."
"GameUI_ContentStatusEnabled"	"Entrez un mot de passe pour désactiver le verrouillage du contenu."
"[english]GameUI_ContentStatusEnabled"	"Enter a password to disable the content lock."
"GameUI_Enable"			"Activer"
"[english]GameUI_Enable"			"Enable"
"GameUI_Disable"		"Désactiver"
"[english]GameUI_Disable"		"Disable"
"GameUI_PasswordPrompt"		"Veuillez entrer un mot de passe"
"[english]GameUI_PasswordPrompt"		"Please enter a password"
"GameUI_PasswordDisablePrompt"	"Veuillez entrer le mot de passe"
"[english]GameUI_PasswordDisablePrompt"	"Please enter password"
"GameUI_PasswordReentryPrompt"	"Retapez le mot de passe"
"[english]GameUI_PasswordReentryPrompt"	"Re-enter a password"
"GameUI_Cancel"			"Annuler"
"[english]GameUI_Cancel"			"Cancel"
"GameUI_Back"			"Précédent"
"[english]GameUI_Back"			"Back"
"GameUI_Apply"			"Appliquer"
"[english]GameUI_Apply"			"Apply"
"GameUI_DemoPlayer"		"Démo joueur"
"[english]GameUI_DemoPlayer"		"Demo Player"
"GameUI_LoadDemo"		"Choisir le fichier démo"
"[english]GameUI_LoadDemo"		"Choose Demo File"
"GameUI_Load"			"Charger"
"[english]GameUI_Load"			"Load"
"GameUI_DemoFile"		"Fichier démo"
"[english]GameUI_DemoFile"		"Demo File"
"GameUI_Map"			"Carte"
"[english]GameUI_Map"			"Map"
"GameUI_Close"			"Fermer"
"[english]GameUI_Close"			"Close"
"GameUI_NeverShowButton"	"Ne plus afficher cette boîte de dialogue"
"[english]GameUI_NeverShowButton"	"Do not show this dialog again"
"GameUI_BonusMapsHelp"		"Sélectionnez une carte ou un dossier bonus ci-dessous, puis cliquez sur « Charger »."
"[english]GameUI_BonusMapsHelp"		"Select a bonus map or folder below, then click 'Load'"
"GameUI_BonusMaps"		"CARTES BONUS"
"[english]GameUI_BonusMaps"		"BONUS MAPS"
"GameUI_BonusMapsCompletion"	"Terminé"
"[english]GameUI_BonusMapsCompletion"	"Complete"
"GameUI_BonusMapsUnlocked"	"+Bonus"
"[english]GameUI_BonusMapsUnlocked"	"+Bonus"
"GameUI_BonusMapsStandard"	"Standard"
"[english]GameUI_BonusMapsStandard"	"Standard"
"GameUI_BonusMapsAdvanced"	"Avancé"
"[english]GameUI_BonusMapsAdvanced"	"Advanced"
"GameUI_BonusMapsBest"		"Record : %s1"
"[english]GameUI_BonusMapsBest"		"Best: %s1"
"GameUI_BonusMapsGoal"		"Objectif : %s1"
"[english]GameUI_BonusMapsGoal"		"Goal: %s1"
"GameUI_LoadGameHelp"		"Sélectionnez une partie sauvegardée dans la liste ci-dessous puis cliquez sur « Charger »."
"[english]GameUI_LoadGameHelp"		"Select a saved game in the list below, then click 'Load game'."
"GameUI_LoadGame"		"CHARGER LA PARTIE"
"[english]GameUI_LoadGame"		"LOAD GAME"
"GameUI_MultiplayerAdvanced"	"MULTIJOUEUR AVANCE"
"[english]GameUI_MultiplayerAdvanced"	"MULTIPLAYER ADVANCED"
"GameUI_MultiplayerCustomize"	"Multijoueur personnalisé"
"[english]GameUI_MultiplayerCustomize"	"Multiplayer Customize"
"GameUI_Multiplayer" 	"Multijoueur"
"[english]GameUI_Multiplayer" 	"Multiplayer"
"GameUI_OK"			"OK"
"[english]GameUI_OK"			"OK"
"GameUI_AdvancedEllipsis"	"Avancé..."
"[english]GameUI_AdvancedEllipsis"	"Advanced..."
"GameUI_AdvancedNoEllipsis"	"Avancé"
"[english]GameUI_AdvancedNoEllipsis"	"Advanced"
"GameUI_PlayerName"		"Nom du joueur"
"[english]GameUI_PlayerName"		"Player name"
"GameUI_PrimaryColor"		"Couleur principale"
"[english]GameUI_PrimaryColor"		"Primary color"
"GameUI_SecondaryColor"		"Couleur secondaire"
"[english]GameUI_SecondaryColor"		"Secondary color"
"GameUI_HighModels"		"Utiliser des modèles haute qualité"
"[english]GameUI_HighModels"		"Use high quality models"
"GameUI_PlayerModel"		"Modèle du joueur"
"[english]GameUI_PlayerModel"		"Player model"
"GameUI_SpraypaintImage"	"Graffiti"
"[english]GameUI_SpraypaintImage"	"Spraypaint image"
"GameUI_SpraypaintServerNote"	"Les modifications apportées au graffiti ne prendront effet que lorsque vous rejoindrez un serveur."
"[english]GameUI_SpraypaintServerNote"	"Changes to your spraypaint image take effect when you join a server."
"GameUI_NewGame"		"NOUVELLE PARTIE"
"[english]GameUI_NewGame"		"NEW GAME"
"GameUI_NewGameHelpText"	"Sélectionnez un niveau de difficulté ou la Salle
d'entraînement, puis cliquez sur « Jouer »."
"[english]GameUI_NewGameHelpText"	"Select a level of difficulty or the Training
room, then click 'Play'."
"GameUI_TrainingRoom"		"SALLE D'ENTRAINEMENT"
"[english]GameUI_TrainingRoom"		"TRAINING ROOM"
"GameUI_Easy"			"Facile"
"[english]GameUI_Easy"			"Easy"
"GameUI_Medium"			"Moyenne"
"[english]GameUI_Medium"			"Medium"
"GameUI_Hard"			"Difficile"
"[english]GameUI_Hard"			"Hard"
"GameUI_SelectSkill"		"SELECTIONNER LE NIVEAU DE DIFFICULTE DU COMBAT"
"[english]GameUI_SelectSkill"		"SELECT COMBAT DIFFICULTY"
"GameUI_StartNewGame"		"Commencer une nouvelle partie"
"[english]GameUI_StartNewGame"		"Start new game"
"GameUI_Next"			"Plus >"
"[english]GameUI_Next"			"More >"
"GameUI_Prev"			"< Plus"
"[english]GameUI_Prev"			"< More"
"GameUI_Play"			"Jouer"
"[english]GameUI_Play"			"Play"
"GameUI_EnableEAX"		"Activer EAX"
"[english]GameUI_EnableEAX"		"Enable EAX Hardware Support"
"GameUI_EnableA3D"		"Activer A3D"
"[english]GameUI_EnableA3D"		"Enable A3D Hardware Support"
"GameUI_SoundEffectVolume"	"Volume du jeu"
"[english]GameUI_SoundEffectVolume"	"Game volume"
"GameUI_HEVSuitVolume"		"Volume CPMH"
"[english]GameUI_HEVSuitVolume"		"HEV suit volume"
"GameUI_MP3Volume"		"Volume MP3 *"
"[english]GameUI_MP3Volume"		"MP3 volume *"
"GameUI_MusicVolume"		"Volume de la musique"
"[english]GameUI_MusicVolume"		"Music volume"
"GameUI_SoundQuality"		"Qualité sonore"
"[english]GameUI_SoundQuality"		"Sound quality"
"GameUI_Ultra"			"Très élevée"
"[english]GameUI_Ultra"			"Very High"
"GameUI_High"			"Elevée"
"[english]GameUI_High"			"High"
"GameUI_Low"			"Faible"
"[english]GameUI_Low"			"Low"
"GameUI_UseDefaults"		"Utiliser la configuration par défaut"
"[english]GameUI_UseDefaults"		"Use Defaults"
"GameUI_SetNewKey"		"Changer"
"[english]GameUI_SetNewKey"		"Edit key"
"GameUI_ClearKey"		"Effacer"
"[english]GameUI_ClearKey"		"Clear Key"
"GameUI_SetNewButton"		"Appuyez sur un bouton"
"[english]GameUI_SetNewButton"		"Press a button..."
"GameUI_ClearButton"		"Effacer"
"[english]GameUI_ClearButton"		"Clear"
"GameUI_DefaultButtons"		"Commandes par défaut"
"[english]GameUI_DefaultButtons"		"Default controls"
"GameUI_Action"			"Action"
"[english]GameUI_Action"			"Action"
"GameUI_Toggle"			"Basculer"
"[english]GameUI_Toggle"			"Toggle"
"GameUI_Hold"			"Maintenir"
"[english]GameUI_Hold"			"Hold"
"GameUI_KeyButton"		"TOUCHE/BOUTON"
"[english]GameUI_KeyButton"		"KEY/BUTTON"
"GameUI_Alternate"		"ALTERNATIF"
"[english]GameUI_Alternate"		"ALTERNATE"
"GameUI_Windowed"		"Mode fenêtré"
"[english]GameUI_Windowed"		"Run in a window"
"GameUI_Renderer"		"Accélération 3D"
"[english]GameUI_Renderer"		"Renderer"
"GameUI_Software"		"Logiciel"
"[english]GameUI_Software"		"Software"
"GameUI_OpenGL"			"OpenGL"
"[english]GameUI_OpenGL"			"OpenGL"
"GameUI_D3D"			"D3D"
"[english]GameUI_D3D"			"D3D"
"GameUI_Brightness"		"Luminosité"
"[english]GameUI_Brightness"		"Brightness"
"GameUI_Gamma"			"Gamma"
"[english]GameUI_Gamma"			"Gamma"
"GameUI_Resolution"		"Résolution"
"[english]GameUI_Resolution"		"Resolution"
"GameUI_VideoRestart"		"Remarque : après avoir modifié les réglages vidéo, vous devez redémarrer le jeu."
"[english]GameUI_VideoRestart"		"Note: changing video options will cause the game to exit and restart."
"GameUI_EnableVoice"		"Activer les voix dans cette partie"
"[english]GameUI_EnableVoice"		"Enable voice in this game"
"GameUI_BoostMicrophone"	"Augmenter le gain du micro"
"[english]GameUI_BoostMicrophone"	"Boost microphone gain"
"GameUI_MicrophoneVolume"	"Volume microphone"
"[english]GameUI_MicrophoneVolume"	"Microphone Volume"
"GameUI_ReceiveVolume"		"Volume réception"
"[english]GameUI_ReceiveVolume"		"Receive Volume"
"GameUI_TestMicrophone"		"Tester microphone"
"[english]GameUI_TestMicrophone"		"Test Microphone"
"GameUI_StopTestMicrophone"	"Arrêter le test microphone"
"[english]GameUI_StopTestMicrophone"	"Stop Microphone Test"
"GameUI_VoiceReceiveVolume"	"Volume réception des voix *"
"[english]GameUI_VoiceReceiveVolume"	"Voice receive volume *"
"GameUI_VoiceTransmitVolume"	"Volume transmission des voix *"
"[english]GameUI_VoiceTransmitVolume"	"Voice transmit volume *"
"GameUI_SaveGame"		"SAUVEGARDER LA PARTIE"
"[english]GameUI_SaveGame"		"SAVE GAME"
"GameUI_SaveGameHelp"		"Sélectionnez Nouvelle partie sauvegardée dans la liste pour créer une nouvelle partie ou sélectionnez
une partie sauvegardée précédemment pour écraser une partie."
"[english]GameUI_SaveGameHelp"		"Select 'New Save Game' in the list to create a new file, or select
a previously saved game to overwrite a file."
"GameUI_Delete"			"Supprimer"
"[english]GameUI_Delete"			"Delete"
"GameUI_Quit"			"Quitter la partie"
"[english]GameUI_Quit"			"Quit game"
"GameUI_SteamPassword"		"Mot de passe Steam"
"[english]GameUI_SteamPassword"		"Steam Password"
"GameUI_CreateServer"		"CREER SERVEUR"
"[english]GameUI_CreateServer"		"CREATE SERVER"
"GameUI_Start"			"Démarrer"
"[english]GameUI_Start"			"Start"
"GameUI_Console"		"Console"
"[english]GameUI_Console"		"Console"
"GameUI_Submit"			"Soumettre"
"[english]GameUI_Submit"			"Submit"
"GameUI_Options"		"OPTIONS"
"[english]GameUI_Options"		"OPTIONS"
"GameUI_Keyboard"		"Clavier"
"[english]GameUI_Keyboard"		"Keyboard"
"GameUI_Mouse"			"Souris"
"[english]GameUI_Mouse"			"Mouse"
"GameUI_Audio"			"Audio"
"[english]GameUI_Audio"			"Audio"
"GameUI_Video"			"Vidéo"
"[english]GameUI_Video"			"Video"
"GameUI_Voice"			"Voix"
"[english]GameUI_Voice"			"Voice"
"GameUI_Advanced"		"Verrouiller"
"[english]GameUI_Advanced"		"Lock"
"GameUI_Server"			"Serveur"
"[english]GameUI_Server"			"Server"
"GameUI_Game"			"Jeu" [$WIN32]
"[english]GameUI_Game"			"Game"
"GameUI_SavedGame"		"Partie sauvegardée"
"[english]GameUI_SavedGame"		"Saved Game"
"GameUI_ElapsedTime"		"Temps écoulé"
"[english]GameUI_ElapsedTime"		"Elapsed Time"
"GameUI_TimeStamp"		"Afficher le temps"
"[english]GameUI_TimeStamp"		"Time Stamp"
"GameUI_KeyboardSettings"	"Configuration clavier"
"[english]GameUI_KeyboardSettings"	"Keyboard settings"
"GameUI_KeyboardSettingsText"	"Revenir aux touches par défaut pour toutes les actions?"
"[english]GameUI_KeyboardSettingsText"	"Reset all actions to use their default keys?"
"GameUI_ControllerSettingsText"	"Revenir aux touches par défaut pour toutes\nles options de la manette?"
"[english]GameUI_ControllerSettingsText"	"Reset all controller options to their defaults?"
"GameUI_GameMenu_NewGame"	"NOUVELLE PARTIE"
"[english]GameUI_GameMenu_NewGame"	"NEW GAME"
"GameUI_GameMenu_PlayDemo"	"JOUER A LA DEMO"
"[english]GameUI_GameMenu_PlayDemo"	"PLAY DEMO"
"GameUI_GameMenu_BonusMaps"	"CARTES BONUS"
"[english]GameUI_GameMenu_BonusMaps"	"BONUS MAPS"
"GameUI_GameMenu_LoadGame"	"CHARGER LA PARTIE"
"[english]GameUI_GameMenu_LoadGame"	"LOAD GAME"
"GameUI_GameMenu_SaveGame"	"SAUVEGARDER LA PARTIE"
"[english]GameUI_GameMenu_SaveGame"	"SAVE GAME"
"GameUI_GameMenu_Multiplayer"	"MULTIJOUEUR "
"[english]GameUI_GameMenu_Multiplayer"	"MULTIPLAYER "
"GameUI_GameMenu_FindServers"	"RECHERCHE SERVEURS"
"[english]GameUI_GameMenu_FindServers"	"FIND SERVERS"
"GameUI_GameMenu_Friends"	"AMIS"
"[english]GameUI_GameMenu_Friends"	"FRIENDS"
"GameUI_GameMenu_Customize"	"PERSONNALISER"
"[english]GameUI_GameMenu_Customize"	"CUSTOMIZE"
"GameUI_GameMenu_CreateServer"	"CREER SERVEUR"
"[english]GameUI_GameMenu_CreateServer"	"CREATE SERVER"
"GameUI_GameMenu_Options"	"OPTIONS"
"[english]GameUI_GameMenu_Options"	"OPTIONS"
"GameUI_GameMenu_Achievements" "SUCCES"
"[english]GameUI_GameMenu_Achievements" "ACHIEVEMENTS"
"GameUI_GameMenu_PlayerStats"	"STATS JOUEUR"
"[english]GameUI_GameMenu_PlayerStats"	"PLAYER STATS"
"GameUI_GameMenu_Quit"		"QUITTER"
"[english]GameUI_GameMenu_Quit"		"QUIT"
"GameUI_PasswordsDontMatch"	"Les mots de passe tapés ne correspondent pas !"
"[english]GameUI_PasswordsDontMatch"	"Entered passwords don't match!"
"GameUI_MustEnterPassword"	"Vous devez taper un mot de passe"
"[english]GameUI_MustEnterPassword"	"You must enter a password"
"GameUI_IncorrectPassword"	"Mot de passe incorrect"
"[english]GameUI_IncorrectPassword"	"Incorrect password"
"GameUI_CantDisableContentCtrl"	"Impossible de désactiver, le contrôle du contenu n'a pas été configuré"
"[english]GameUI_CantDisableContentCtrl"	"Can't disable, content control was not set"
"GameUI_Loading"		"CHARGEMENT..."
"[english]GameUI_Loading"		"LOADING..."
"GameUI_LoadingGame"		"CHARGEMENT"
"[english]GameUI_LoadingGame"		"LOADING"
"GameUI_Disconnected"		"Déconnecté"
"[english]GameUI_Disconnected"		"Disconnected"
"GameUI_ConnectionFailed" 	"Impossible de se connecter au serveur."
"[english]GameUI_ConnectionFailed" 	"Could not connect to server."
"GameUI_DisconnectedFrom" "Vous avez été déconnecté du serveur."
"[english]GameUI_DisconnectedFrom" "You have been disconnected from the server."
"GameUI_DisconnectedFromServerExtended" "Vous avez été déconnecté du serveur.
Motif : %s1"
"[english]GameUI_DisconnectedFromServerExtended" "You have been disconnected from the server.
Reason: %s1"
"GameUI_EstablishingConnection" "Etablissement d'une connexion réseau avec le serveur en cours..."
"[english]GameUI_EstablishingConnection" "Establishing network connection to server..."
"GameUI_ParseServerInfo"	"Analyse des infos serveur..."
"[english]GameUI_ParseServerInfo"	"Parsing server info..."
"GameUI_CheckCRCs"		"Validation des ressources de jeu..."
"[english]GameUI_CheckCRCs"		"Validating game resources..."
"GameUI_PrecacheResources"	"Chargement des ressources de jeu..."
"[english]GameUI_PrecacheResources"	"Loading game resources..."
"GameUI_ParseBaseline"		"Analyse des infos de jeu..."
"[english]GameUI_ParseBaseline"		"Parsing game info..."
"GameUI_StartingServer"	"Lancement d'un serveur local..."
"[english]GameUI_StartingServer"	"Starting local game server..."
"GameUI_DisplayMode"		"Affichage"
"[english]GameUI_DisplayMode"		"Display Mode"
"GameUI_Fullscreen"		"Plein écran"
"[english]GameUI_Fullscreen"		"Full screen"
"GameUI_AspectRatio"		"Rapport hauteur-largeur"
"[english]GameUI_AspectRatio"		"Aspect Ratio"
"GameUI_AspectNormal"		"Normal (4/3)"
"[english]GameUI_AspectNormal"		"Normal (4:3)"
"GameUI_AspectWide16x9"		"Grand écran 16/9"
"[english]GameUI_AspectWide16x9"		"Widescreen 16:9"
"GameUI_AspectWide16x10"	"Grand écran 16/10"
"[english]GameUI_AspectWide16x10"	"Widescreen 16:10"
"GameUI_AspectWide"		"16/9"
"[english]GameUI_AspectWide"		"Widescreen"
"GameUI_CDKey"			"Clé CD"
"[english]GameUI_CDKey"			"CD Key"
"GameUI_EnterCDKey"		"Veuillez entrer votre clé CD, que vous trouverez
imprimée sur le boîtier de votre CD."
"[english]GameUI_EnterCDKey"		"Please enter your CD Key, which can be
found printed on your CD jewel case."
"GameUI_LoadingDialog_ContentHosting"    "Hébergement du contenu par :"
"[english]GameUI_LoadingDialog_ContentHosting"    "Content hosting provided by:"
"GameUI_ColorSliders" 		"Couleurs"
"[english]GameUI_ColorSliders" 		"Colors"
"GameUI_ColorQuality" 		"Qualité des couleurs"
"[english]GameUI_ColorQuality" 		"Color Quality"

"GameUI_CDKey_Invalid_Text"	"La clé CD que vous avez entrée n'est pas valide."
"[english]GameUI_CDKey_Invalid_Text"	"The CD Key you have entered is invalid."
"GameUI_CDKey_Invalid_Title"	"CLE CD INCORRECTE"
"[english]GameUI_CDKey_Invalid_Title"	"INCORRECT CD KEY"
"GameUI_CDKey_TooManyTries"	"Vous avez entré une clé CD incorrecte trop de fois. Sortie..."
"[english]GameUI_CDKey_TooManyTries"	"Incorrect CD Key entered too many times. Exiting..."
"GameUI_GameMenu_ResumeGame"	"REPRENDRE LA PARTIE"
"[english]GameUI_GameMenu_ResumeGame"	"RESUME GAME"
"GameUI_GameMenu_Disconnect"	"SE DECONNECTER"
"[english]GameUI_GameMenu_Disconnect"	"DISCONNECT"
"GameUI_GameMenu_ChangeGame"	"CHANGER DE PARTIE"
"[english]GameUI_GameMenu_ChangeGame"	"CHANGE GAME"
"GameUI_GameMenu_PlayerList"	"ACTIVER MODE MUET POUR LES JOUEURS"
"[english]GameUI_GameMenu_PlayerList"	"MUTE PLAYERS"

"GameUI_OutOfDate_Title"	"LA PARTIE N'EXISTE PLUS"
"[english]GameUI_OutOfDate_Title"	"GAME IS OUT OF DATE"
"GameUI_OutOfDate_URL"		"http://www.steampowered.com/autoupdate"
"[english]GameUI_OutOfDate_URL"		"http://www.steampowered.com/autoupdate"
"GameUI_OutOfDate_Msg"		"Votre partie n'existe plus.
Cliquez sur OK pour accéder à la page Web de Valve et télécharger les dernières mises à jour."
"[english]GameUI_OutOfDate_Msg"		"Your game is out of date.
Click OK to go to Valve's webpage to download the latest updates."
"GameUI_QuitConfirmationTitle"  "QUITTER LA PARTIE"
"[english]GameUI_QuitConfirmationTitle"  "QUIT GAME"
"GameUI_QuitConfirmationText"   "Souhaitez-vous arrêter de jouer ?"
"[english]GameUI_QuitConfirmationText"   "Do you wish to stop playing now?"
"GameUI_Disconnect"			"Se déconnecter"
"[english]GameUI_Disconnect"			"Disconnect"
"GameUI_DisconnectConfirmationText"	"Etes-vous sûr de vouloir quitter la partie ?"
"[english]GameUI_DisconnectConfirmationText"	"Are you sure you want to leave this game?"
"GameUI_DisconnectHostConfirmationText"	"Votre déconnexion entraînera l'interdiction de tous les joueurs. Etes-vous sûr de vouloir quitter la partie ?"
"[english]GameUI_DisconnectHostConfirmationText"	"Disconnecting will kick all players. Are you sure you want to leave this game?"							
"GameUI_ChangeGame"		"Changer de partie"
"[english]GameUI_ChangeGame"		"Change game"
"GameUI_NoOtherGamesAvailable"  "Il n'y a aucune autre partie disponible."
"[english]GameUI_NoOtherGamesAvailable"  "There are no other games available to play."
"GameUI_ForceGameRestart"	"Si vous changez de partie, le moteur redémarrera."
"[english]GameUI_ForceGameRestart"	"Changing games will cause the engine to restart."
"GameUI_Miles_Voice"		"Utilise Miles Sound System. Copyright © 1991-2001 by RAD Game Tools, Inc."
"[english]GameUI_Miles_Voice"		"Uses Miles Sound System. Copyright © 1991-2001 by RAD Game Tools, Inc."
"GameUI_Miles_Audio"		"Lecture MPEG Layer-3 par le Miles Sound System de RAD Game Tools, Inc. Technologie de compression audio MPEG Layer-3 sous licence de Fraunhofer IIS et THOMSON multimédia."
"[english]GameUI_Miles_Audio"		"MPEG Layer-3 playback supplied with the Miles Sound System from RAD Game Tools, Inc. MPEG Layer-3 audio compression technology licensed by Fraunhofer IIS and THOMSON multimedia."
"GameUI_Bink"               "Utilise Bink Video. Copyright © 1997-2007 by RAD Game Tools, Inc."
"[english]GameUI_Bink"               "Uses Bink Video. Copyright © 1997-2007 by RAD Game Tools, Inc."
"GameUI_MuteIngameVoice"	"Désactiver les voix dans le jeu"
"[english]GameUI_MuteIngameVoice"	"Mute in-game voice"
"GameUI_UnmuteIngameVoice"	"Réactiver les voix dans le jeu"
"[english]GameUI_UnmuteIngameVoice"	"Unmute in-game voice"
"GameUI_PlayerListDialogTitle"	"JOUEURS ACTUELS - %server%"
"[english]GameUI_PlayerListDialogTitle"	"CURRENT PLAYERS - %server%"
"GameUI_FriendsName"		"Nom des amis"
"[english]GameUI_FriendsName"		"Friends name"
"GameUI_Properties"		"Propriétés"
"[english]GameUI_Properties"		"Properties"

"GameUI_AddFriendTitle"		"AMIS - AJOUTER UN AMI"
"[english]GameUI_AddFriendTitle"		"FRIENDS - ADD FRIEND"
"GameUI_FriendAddedToList"	"%name% a été ajouté à votre liste d'amis.
Remarque : le statut de connexion de la personne ne sera pas indiqué tant que celle-ci n'aura pas accepté votre requête d'amis."
"[english]GameUI_FriendAddedToList"	"%name% has been added to your friends list.
Note that they will not show up as online until they have accepted your friendship request."
"GameUI_AddFriendFailed"	"%name% n'a pas pu être ajouté à votre liste.
Soit il y a eu un problème de connexion, soit vous n'utilisez pas la fonction Amis."
"[english]GameUI_AddFriendFailed"	"%name% could not be added to your list.
There was either a connection error, or they are not running Friends."
"GameUI_NoOtherPlayersInGame"	"Il n'y a pas d'autres joueurs dans la partie."
"[english]GameUI_NoOtherPlayersInGame"	"There are no other players in the game."
"GameUI_QuickSave"		"SAUVEGARDE RAPIDE"
"[english]GameUI_QuickSave"		"QUICK SAVE"
"GameUI_AutoSave"		"SAUVEGARDE AUTOMATIQUE"
"[english]GameUI_AutoSave"		"AUTO SAVE"
"GameUI_AutoSaveLabel"		"AUTOMATIQUE :"
"[english]GameUI_AutoSaveLabel"		"AUTO:"
"GameUI_UserSaveLabel"		"UTILISATEUR :"
"[english]GameUI_UserSaveLabel"		"USER:"
"GameUI_Type"			"Type"
"[english]GameUI_Type"			"Type"
"GameUI_ServerName"		"Nom du serveur"
"[english]GameUI_ServerName"		"Server name"
"GameUI_MaxPlayers"		"Nombre de joueurs max. :"
"[english]GameUI_MaxPlayers"		"Max. Players:"
"GameUI_Password"		"Mot de passe"
"[english]GameUI_Password"		"Password"

"GameUI_DARK"			"SOMBRE"
"[english]GameUI_DARK"			"DARK"
"GameUI_LIGHT"			"ECLAIRE"
"[english]GameUI_LIGHT"			"LIGHT"
"GameUI_VerifyingResources"	 "Vérification des ressources..."
"[english]GameUI_VerifyingResources"	 "Verifying resources..."
"GameUI_VerifyingAndDownloading" "Vérification et téléchargement des ressources..."
"[english]GameUI_VerifyingAndDownloading" "Verifying and downloading resources..."
"GameUI_UpdatingSteamResources" "Mise à jour des ressources Steam"
"[english]GameUI_UpdatingSteamResources" "Updating steam resources"

"GameUI_DownloadFailed"		"Impossible de télécharger %s1"
"[english]GameUI_DownloadFailed"		"Could not download %s1"
"GameUI_DownloadFailedZeroLen"		"Impossible de télécharger %s1 :
Ce fichier ne contient aucune donnée"
"[english]GameUI_DownloadFailedZeroLen"		"Could not download %s1:
File has no data"
"GameUI_DownloadFailedConClosed"	"Impossible de télécharger %s1 :
Connexion interrompue par l'hôte distant"
"[english]GameUI_DownloadFailedConClosed"	"Could not download %s1:
Connection closed by remote host"
"GameUI_DownloadFailedBadURL"		"Impossible de télécharger %s1 :
URL non valide"
"[english]GameUI_DownloadFailedBadURL"		"Could not download %s1:
Invalid URL"
"GameUI_DownloadFailedBadProtocol"	"Impossible de télécharger %s1 :
Seul le HTTP est pris en charge"
"[english]GameUI_DownloadFailedBadProtocol"	"Could not download %s1:
Only HTTP is supported"
"GameUI_DownloadFailedCantBind"		"Impossible de télécharger %s1 :
Impossible de trouver un port"
"[english]GameUI_DownloadFailedCantBind"		"Could not download %s1:
Cannot bind a socket"
