"lang"
{
"Language" "ukrainian"
"Tokens"
{
// ---------------------------------------------------------------------------------------------
// GAMEUI_ENGLISH.txt

		"GameUI_MainMenuMovieScene"	"Тло головного меню"
		"GameUI_Language_Finnish"				"фінська"
		"GameUI_Language_Norwegian"				"норвезька"
		"GameUI_Language_Swedish"				"шведська"

		"GameUI_Map"			"Мапа"
		"GameUI_Close"			"Закрити"
		"GameUI_Load"			"Завантажити"
		"GameUI_Save"			"Зберегти"
		"GameUI_SaveAs"			"Зберегти як…"
		"GameUI_Refresh"		"Оновити"
		"GameUI_OpenFile"		"Відкрити файл"

		"GameUI_Category_HudOptions"		"НАЛАШТУВАННЯ ІНТЕРФЕЙСУ"
		"GameUI_Category_TeamOptions"		"НАЛАШТУВАННЯ КОМАНДИ"
		"GameUI_Category_SpecAndScoreOptions"		"НАЛАШТУВАННЯ ПЕРЕГЛЯДУ І ТАБЛИЦІ РЕЗУЛЬТАТІВ"
		"GameUI_Category_ItemOptions"		"НАЛАШТУВАННЯ ПРЕДМЕТІВ"
		"GameUI_Category_RadarOptions"		"НАЛАШТУВАННЯ РАДАРУ"
		"GameUI_Category_KeyBindings"		"ПРИЗНАЧЕННЯ"
		"GameUI_Category_ControllerBindings"		"НАЛАШТУВАННЯ КНОПОК"
		"GameUI_Category_AdvancedVideo"	"ДОДАТКОВІ ПАРАМЕТРИ ГРАФІКИ"
		"GameUI_Category_MyMusic"	"ПАРАМЕТРИ МУЗИКИ"

		"GameUI_Disconnect_DifferentClassTables"	"Сервер має відмінні від ваших таблиці класів."
		"GameUI_Disconnect_ConnectionLost"			"Втрачено підключення."
		"GameUI_Disconnect_ConnectionOverflow"		"Помилка переповнення."
		"GameUI_Disconnect_NoSpectators"			"До матчу не допускаються глядачі."
		"GameUI_Disconnect_DisconnectByUser"		"З’єднання розірване користувачем"
		"GameUI_Disconnect_DisconnectByServer"		"З’єднання розірване сервером"
		"GameUI_Disconnect_PureServer_Mismatch"		"Pure server: файл клієнта не збігається з копією на сервері.\n\nhttps://support.steampowered.com/kb_article.php?ref=8285-YOAZ-6049"
		"GameUI_Disconnect_PureServer_Mismatch_WithParam"	"Pure server: файл клієнта не збігається з копією на сервері.\n\nhttps://support.steampowered.com/kb_article.php?ref=8285-YOAZ-6049\n\nНевідповідний файл: %s1"
		"GameUI_Disconnect_UserCmd"					"Помилка опрацювання команд користувача."
		"GameUI_Disconnect_RejectedByGame"			"Гра відмовила у підключенні."
		"GameUI_Disconnect_ConnectionTooLossy"		"Надмірна втрата пакетів."
		"GameUI_Disconnect_TooManyCommands"			"Видано забагато команд серверу."
		"GameUI_Disconnect_DeltaEntMessage"			"Забагато об’єктів на сервері."
		"GameUI_Disconnect_TickMessage"				"Серверу не вдалося записати частотне повідомлення від клієнта."

		"GameUI_Disconnect_ConnectionTimedout"		"Не вдалося встановити підключення до ігрового сервера."

		"GameUI_Disconnect_LocalProblem_ManyRelays"	"Втрачено підключення, навіть після спроби кількох вузлів зв’язку в різних географічних регіонах. Найімовірніша причина — проблема з вашим підключенням до Інтернету."
		"GameUI_Disconnect_LocalProblem_HostedServerPrimaryRelay"	"Ігровий сервер втратив з’єднання з основним вузлом, який використовував клієнт."
		"GameUI_Disconnect_LocalProblem_NetworkConfig"	"Перевірте підключення до Інтернету. Не вдалося завантажити конфігурацію мережі з CDN."
		"GameUI_Disconnect_RemoteProblem_Timeout"			"Гра втратила зв’язок із віддаленим хостом."
		"GameUI_Disconnect_RemoteProblem_Other"				"Проблема зв’язку з віддаленим хостом."
		"GameUI_Disconnect_RemoteProblem_BadCrypt"			"Віддалений хост надав недійсний або хибно сконфігурований сертифікат."
		"GameUI_Disconnect_RemoteProblem_BadCert"			"Віддалений хост надав сертифікат, який не можна використати для автентифікації."
		"GameUI_Disconnect_ClosedByPeer"					"Віддалений хост закрив підключення."
		"GameUI_Disconnect_ClosedByPeer_Timeout"			"Віддалений хост припинив отримувати повідомлення та закрив підключення."
		"Workshop_Preview_ShowStatTrak"		"StatTrak™"
		"Workshop_Preview_Dialog_Title"		"Верстат майстерні"
		"Workshop_Preview_Workbench"		"Верстат"
		"Workshop_Preview_Hold"				"У руках"
		"Workshop_Preview_GreenScreen"		"Зелений екран"
		"Workshop_Preview_SideView"			"Вигляд збоку"
		"Workshop_Preview_Inspect"			"Оглянути"
		"Workshop_Preview_Variant"			"Варіант"
		"Workshop_Preview_Discard"			"Відхилити"
		"Workshop_Preview_Warning"			"Увага!"
		"Workshop_Preview_Roll"				"Нахил:"
		"Workshop_Preview_RangeParams"		"Випадкові параметри відстані:"
		"Workshop_Preview_CurrentXOffset"	"Поточне зміщення OX:"
		"Workshop_Preview_CurrentYOffset"	"Поточне зміщення OY:"
		"Workshop_Preview_CurrentRotation"	"Поточний оборот:"
		"Workshop_Preview_X_Offset"			"Зміщ. по X"
		"Workshop_Preview_Y_Offset"			"Зміщ. по Y"
		"Workshop_Preview_Submit"			"Надіслати"
		"Workshop_Preview_Pattern"			"Текстура"
		"Workshop_Preview_Guide"			"Посібник"
		"Workshop_Preview_Resources"		"Ресурси"
		"Workshop_Preview_FAQ"				"ЧаПи"
		
		"Workshop_Preview_Import"									"Імпорт TGA"
		"Workshop_Preview_Import_Success_Title"						"Успішне імпортування"
		"Workshop_Preview_Import_Success"							"Файл VTF створено в розташуванні вихідного файлу."
		"Workshop_Preview_Import_Error_Title"						"Помилка імпорту"
		"Workshop_Preview_Import_Error_Memory"						"Не вдалося виділити достатньо пам’яті для конвертування. Файл зображення ймовірно пошкоджений."
		"Workshop_Preview_Import_Error_Reading_Image"				"Помилка читання вхідного зображення. Файл зображення ймовірно пошкоджений або має хибний формат."
		"Workshop_Preview_Import_Error_Image_File_Corrupt"			"Файл зображення пошкоджений."
		"Workshop_Preview_Import_Error_TGA_Format_Not_Supported"	"Цей файл формату TGA не підтримується. Підтримуються лише файли TGA форматів 24-bit RGB та 32-bit RGBA."
		"Workshop_Preview_Import_Error_Writing_Temp_Output"			"Помилка створення тимчасового файлу."
		"Workshop_Preview_Import_Error_Unexpected"					"Сталася неочікувана помилка."

		// Published File Browser Dialog
		"Browse_Published_Files"		"Огляд опублікованих файлів"
		"Published_Files"				"Опубліковані файли:"
		"Button_Add"					"Додати"
		"Button_Delete"					"Видалити"
		"Button_Edit_nodots"			"Редагувати"
		"Button_Refresh"				"Оновити"
		"Button_Weapon_Finish"			"Оздоблення зброї"
		"Button_Sticker"				"Наліпки"
		"Button_Spray"					"Графіті"
		"Button_Map"					"Мапи"
		"Button_Model"					"Модель"
		"Button_Musickit"				"Музичний альбом"
		"Button_All"					"Усі"


		// Publish File Dialog
		"Frame_Untitled"				" "
		"Button_Edit"					"Редагувати…"
		"Button_Remove"					"Вилучити"
		"Label_Name"					"Назва"
		"Label_Directory"				"Розташування"
		"ShowFAQ"						"Детальніше…"
		"Note" 							"Примітка"
		"Button_Search"					"Огляд…"
		"Warning"						"Попередження"
		"OK"							"Гаразд"
		"Cancel_Button"					"Скасувати"
		"Publish_Button"				"Опублікувати"
		"Update_Button"					"Оновити"
		"Preview_Image"					"Мініатюра:"
		"Title_Heading"					"Назва:"
		"Description_Heading"			"Опис:"
		"Workshop_Agreement"			"Я прочитав(-ла) ЧаПи щодо майстерні та приймаю умови Угоди автора матеріалів для майстерні Steam"
		"Workshop_Contest"				"Додайте цей предмет до конкурсу майстерні з нагоди 10-ї річниці CS:GO."
		"Copyrighted_Art"				"Я усвідомлюю, що всі надіслані до Майстерні матеріали мають походити від мене особисто чи моїх співавторів.\nЯкщо це не так, матеріали будуть вилучені, мене буде позбавлено прибутку, а можливо й довічно заблоковано у Майстерні та/або Steam.\nВведіть «I Understand» у полі, після чого натисніть кнопку «Гаразд» для підтвердження."
		"View_Agreement"				"Переглянути угоду"
		"Workshop_FAQ"					"ЧаПи щодо Майстерні CS:GO"
		"Update_Desc"					"Що нового:"

		// Map
		"Map_Frame_Title"				"Публікація мапи"

		// Model
		"Model_Frame_Title"				"Публікація моделі"
		"MDLFile"						"Файл MDL"
		"ModelSource"					"Вихідні файли моделі"
		"Button_Weapon"					"Зброя"
		"Button_Prop"					"Реквізит"
		"Button_Other"					"Інше"

		// Weapon Publish
		"Frame_Title"					"Публікація оздоблення зброї"
		"Workbench_Files"				"Файл Workbench (.txt):"
		"Image_Files"					"Вихідне зображення (.tga):"
		"VTF_Files"						"Файл у форматі текстури Valve (.vtf):"
		"NormalVTF_Files"				"Мапа нормалей у форматі текстур Valve (.vtf):"
		"NormalImage_Files"				"Вихідний файл мапи нормалей (.tga):"

		// Sticker Publish
		"Sticker_Frame_Title"			"Публікація наліпки"
		"BaseVTF"						"Базовий VTF-файл"
		"ExponentVTF"					"VTF-файл мапи експонент [не обов’язково]"
		"NormalMapVTF"					"VTF-файл мапи нормалей"
		"HologramMaskVTF"				"VTF-файл голографічної маски"
		"HologramSpectrumVTF"			"VTF-файл голографічного спектра"
		"BaseSource"					"Базове вихідне зображення"
		"ExponentSource"				"Вихідне зображення мапи експонент [не обов’язково]"
		"NormalMapSource"				"Вихідне зображення мапи нормалей"
		"HologramMaskSource"			"Вихідне зображення голографічної маски"
		"HologramSpectrumSource"		"Вихідне зображення голографічного спектра"

		// Music kit
		"Musickit_Frame_Title"			"Публікація музичного альбома"
		"Zipfile"						"Zip-архів"

		"GameUI_CDKey"			"Ключ продукту"
		"GameUI_EnterCDKey"		"Будь ласка, уведіть свій ключ продукту, який зазвичай\nнадруковано на коробці з диском гри."
		"GameUI_OK"			"Гаразд"
		"GameUI_Quit"			"Вийти з гри"

		"GameUI_QuitConfirmationTitle"  "ВИХІД ІЗ ГРИ"
		"GameUI_QuitConfirmationText"   "Ви хочете припинити гру?"
		"GameUI_ChangeGame"		"Змінити гру"
		"GameUI_NoOtherGamesAvailable"  "Не доступно жодної іншої гри."

		"GameUI_DownloadFilter_Title"		"Якщо ігровий сервер намагається завантажити\nвласний вміст на ваш комп’ютер"
		"GameUI_DownloadFilter_ALL"		"Приймати від сервера всі нестандартні файли"
		"GameUI_DownloadFilter_NoSounds"	"Не завантажувати власні звукові файли"
		"GameUI_DownloadFilter_None"		"Не завантажувати жодних нестандартних файлів"

		"LoadingProgress_SpawningServer"	"Запуск локального ігрового сервера…"
		"LoadingProgress_Changelevel"	"Зміна мапи сервера…"
		"LoadingProgress_LoadMap"		"Завантаження мапи…"
		"LoadingProgress_PrecacheWorld"		"Початкова підготовка мапи…"
		"LoadingProgress_LoadResources"		"Завантаження ресурсів…"
		"LoadingProgress_SignonLocal"		"Початкова підготовка ресурсів…"
		"LoadingProgress_SignonDataLocal"	"Початкова підготовка даних гри…"

		"LoadingProgress_BeginConnect"		"Встановлення підключення до сервера…"
		"LoadingProgress_Connecting"		"Підключення до сервера…"
		"LoadingProgress_ProcessServerInfo"	"Отримання даних від сервера…"
		"LoadingProgress_SendClientInfo"	"Надсилання даних клієнта…"
		"LoadingProgress_SignonData"		"Отримання даних гри…"

		"GameUI_Settings_ShowLocation"		"Показувати розташування"
		"GameUI_Settings_ShowLocationAndEquipment"		"Показувати розташування та спорядження"

		"GameUI_ReportBug"		"ПОВІДОМИТИ ПРО ПОМИЛКУ"
		"GameUI_Bug_Successful"		"Повідомлення успішно надіслане!"
		"GameUI_Bug_Submitting"		"Йде надсилання повідомлення…"
		"GameUI_Bug_TakeScreenshot"	"Зробити знімок екрана"
		"GameUI_Bug_AttachSavedGame"	"Прикріпити запис гри"
		"GameUI_Bug_ClearForm"		"Очистити форму"
		"GameUI_Bug_Title"		"Назва:"
		"GameUI_Bug_Description"	"Опис:"
		"GameUI_Bug_Position"		"Місце:"
		"GameUI_Bug_Map"		"Мапа:"
		"GameUI_Bug_Orientation"	"Напрямок:"
		"GameUI_Bug_ReportType"		"Тип помилки:"
		"GameUI_Bug_EmailAddress"	"Електронна пошта:"
		"GameUI_Bug_PrivacyPolicy"	"Політика конфіденційності Valve"
		"GameUI_Bug_Optional"		"(не обов’язково)"
		"GameUI_Bug_AccountName"	"Логін:"
		"GameUI_Bug_EngineBuild"	"ВЕРСІЯ РУШІЯ SOURCE:"
		"GameUI_Bug_Submit"		"Надіслати"
		"GameUI_Bug_ClearFiles"		"Очистити файли"
		"GameUI_Bug_BSP_File"		"файл із розширенням .bsp"
		"GameUI_Bug_VMF_File"		"файл із розширенням .vmf"
		"GameUI_Bug_Include_BSP"	"Прикріпити .bsp"
		"GameUI_Bug_Include_VMF"	"Прикріпити .vmf"
		"GameUI_Bug_IncludeFile"	"Прикріпити файл…"

		// Stat Display Text
		"GAMEUI_Stat_NumShots"              "Зроблено пострілів"
		"GAMEUI_Stat_NumHits"               "Влучних пострілів"
		"GAMEUI_Stat_NumKills"              "Вбито ворогів"
		"GAMEUI_Stat_NumDeaths"             "Смертей гравця"
		"GAMEUI_Stat_TimePlayed"            "Зіграно часу"
		"GAMEUI_Stat_NumPlantedBombs"       "Бомб закладено"
		"GAMEUI_Stat_NumDefusedBombs"       "Бомб знешкоджено"
		"GAMEUI_Stat_TotalWins"             "Виграно раундів"
		"GAMEUI_Stat_TotalRounds"           "Зіграно раундів"
		"GAMEUI_Stat_DamageDone"            "Завдані ворогам ураження"
		"GAMEUI_Stat_MoneyEarned"           "Зароблено грошей"
		"GAMEUI_Stat_NumRescuedHostages"    "Врятовано заручників"
		"GAMEUI_Stat_KnifeKills"            "Вбито ножем"
		"GAMEUI_Stat_HEGrenadeKills"        "Вбито осколковою гранатою"

		"GAMEUI_Stat_GlockKills"            "Вбито з Glock-18"
		"GAMEUI_Stat_DeagleKills"           "Вбито з Desert Eagle"
		"GAMEUI_Stat_EliteKills"            "Вбито з подвійних Beretta"
		"GAMEUI_Stat_FiveSevenKills"        "Вбито з Five-SeveN"
		"GAMEUI_Stat_XM1014Kills"           "Вбито з XM1014"
		"GAMEUI_Stat_MAC10Kills"            "Вбито з MAC-10"
		"GAMEUI_Stat_UMP45Kills"            "Вбито з UMP-45"
		"GAMEUI_Stat_P90Kills"              "Вбито з P90"
		"GAMEUI_Stat_AWPKills"              "Вбито з AWP"
		"GAMEUI_Stat_AK47Kills"             "Вбито з АК"
		"GAMEUI_Stat_M4A1Kills"             "Вбито з M4"
		"GAMEUI_Stat_AUGKills"              "Вбито з AUG"
		"GAMEUI_Stat_GALILKills"            "Вбито з Ґаліля"
		"GAMEUI_Stat_FAMASKills"            "Вбито з FAMAS"
		"GAMEUI_Stat_G3SG1Kills"            "Вбито з G3SG1"
		"GAMEUI_Stat_M249Kills"             "Вбито з M249"

		"GAMEUI_Stat_GlockShots"            "Пострілів з Glock-18"
		"GAMEUI_Stat_DeagleShots"           "Пострілів з Desert Eagle"
		"GAMEUI_Stat_EliteShots"            "Пострілів із подвійних Beretta"
		"GAMEUI_Stat_FiveSevenShots"        "Пострілів з Five-SeveN"
		"GAMEUI_Stat_XM1014Shots"           "Пострілів з XM1014"
		"GAMEUI_Stat_MAC10Shots"            "Пострілів з MAC-10"
		"GAMEUI_Stat_UMP45Shots"            "Пострілів з UMP-45"
		"GAMEUI_Stat_P90Shots"              "Пострілів з P90"
		"GAMEUI_Stat_AWPShots"              "Пострілів з AWP"
		"GAMEUI_Stat_AK47Shots"             "Пострілів з АК"
		"GAMEUI_Stat_M4A1Shots"             "Пострілів з M4"
		"GAMEUI_Stat_AUGShots"              "Пострілів з AUG"
		"GAMEUI_Stat_GALILShots"            "Пострілів з Ґаліля"
		"GAMEUI_Stat_FAMASShots"            "Пострілів з FAMAS"
		"GAMEUI_Stat_G3SG1Shots"            "Пострілів з G3SG1"
		"GAMEUI_Stat_M249Shots"             "Пострілів з M249"

		"GAMEUI_Stat_Glockhits"            "Влучень з Glock-18"
		"GAMEUI_Stat_Deaglehits"           "Влучень з Desert Eagle"
		"GAMEUI_Stat_Elitehits"            "Влучень із подвійних Beretta"
		"GAMEUI_Stat_FiveSevenhits"        "Влучень з Five-SeveN"
		"GAMEUI_Stat_XM1014hits"           "Влучень з XM1014"
		"GAMEUI_Stat_MAC10hits"            "Влучень з MAC-10"
		"GAMEUI_Stat_UMP45hits"            "Влучень з UMP-45"
		"GAMEUI_Stat_P90hits"              "Влучень з P90"
		"GAMEUI_Stat_AWPhits"              "Влучень з AWP"
		"GAMEUI_Stat_AK47hits"             "Влучень з АК"
		"GAMEUI_Stat_M4A1hits"             "Влучень з M4"
		"GAMEUI_Stat_AUGhits"              "Влучень з AUG"
		"GAMEUI_Stat_GALILhits"            "Влучень з Ґаліля"
		"GAMEUI_Stat_FAMAShits"            "Влучень з FAMAS"
		"GAMEUI_Stat_G3SG1hits"            "Влучень з G3SG1"
		"GAMEUI_Stat_M249hits"             "Влучень з M249"

		"GAMEUI_Stat_HeadshotKills"         "Влучень в голову"
		"GAMEUI_Stat_EnemyWeaponKills"      "Вбивств з ворожої зброї"
		"GAMEUI_Stat_PistolRoundWins"       "Виграно пістолетних раундів"
		"GAMEUI_Stat_DecalSprays"           "Графіті нанесено"
		"GAMEUI_Stat_WinsMapCSAssault"      "Перемог на мапі CS Assault"
		"GAMEUI_Stat_WinsMapCSCompound"     "Перемог на мапі CS Compound"
		"GAMEUI_Stat_WinsMapCSHavana"       "Перемог на мапі CS Havana"
		"GAMEUI_Stat_WinsMapCSItaly"        "Перемог на мапі CS Italy"
		"GAMEUI_Stat_WinsMapCSMilitia"      "Перемог на мапі CS Militia"
		"GAMEUI_Stat_WinsMapCSOffice"       "Перемог на мапі CS Office"
		"GAMEUI_Stat_WinsMapDEAztec"        "Перемог на мапі DE Aztec"
		"GAMEUI_Stat_WinsMapDECbble"        "Перемог на мапі DE Cobblestone"
		"GAMEUI_Stat_WinsMapDEChateau"      "Перемог на мапі DE Chateau"
		"GAMEUI_Stat_WinsMapDEDust2"        "Перемог на мапі DE Dust2"
		"GAMEUI_Stat_WinsMapDEDust"         "Перемог на мапі DE Dust"
		"GAMEUI_Stat_WinsMapDEInferno"      "Перемог на мапі DE Inferno"
		"GAMEUI_Stat_WinsMapDENuke"         "Перемог на мапі DE Nuke"
		"GAMEUI_Stat_WinsMapDEPiranesi"     "Перемог на мапі DE Piranesi"
		"GAMEUI_Stat_WinsMapDEPort"         "Перемог на мапі DE Port"
		"GAMEUI_Stat_WinsMapDEProdigy"      "Перемог на мапі DE Prodigy"
		"GAMEUI_Stat_WinsMapDETides"        "Перемог на мапі DE Tides"
		"GAMEUI_Stat_WinsMapDETrain"        "Перемог на мапі DE Train"
		"GAMEUI_Stat_WinsMapDEBoathouse"    "Перемог на мапі DE Boathouse"
		"GAMEUI_Stat_WinsMapDEHouse"		"Перемог на мапі DE House"
		"GAMEUI_Stat_WinsMapDEMill"			"Перемог на мапі DE Mill"
		"GAMEUI_Stat_WinsMapDEShacks"		"Перемог на мапі DE Shacks"
		"GAMEUI_Stat_WinsMapDEBank"			"Перемог на мапі DE Bank"
		"GAMEUI_Stat_WinsMapDEAlleyway"		"Перемог на мапі DE Alleyway"
		"GAMEUI_Stat_WinsMapDEDepot"		"Перемог на мапі DE Depot"

		"GAMEUI_Stat_RoundsMapCSAssault"      "Раундів на мапі CS Assault"
		"GAMEUI_Stat_RoundsMapCSCompound"     "Раундів на мапі CS Compound"
		"GAMEUI_Stat_RoundsMapCSHavana"       "Раундів на мапі CS Havana"
		"GAMEUI_Stat_RoundsMapCSItaly"        "Раундів на мапі CS Italy"
		"GAMEUI_Stat_RoundsMapCSMilitia"      "Раундів на мапі CS Militia"
		"GAMEUI_Stat_RoundsMapCSOffice"       "Раундів на мапі CS Office"
		"GAMEUI_Stat_RoundsMapDEAztec"        "Раундів на мапі DE Aztec"
		"GAMEUI_Stat_RoundsMapDECbble"        "Раундів на мапі DE Cobblestone"
		"GAMEUI_Stat_RoundsMapDEChateau"      "Раундів на мапі DE Chateau"
		"GAMEUI_Stat_RoundsMapDEDust2"        "Раундів на мапі DE Dust2"
		"GAMEUI_Stat_RoundsMapDEDust"         "Раундів на мапі DE Dust"
		"GAMEUI_Stat_RoundsMapDEInferno"      "Раундів на мапі DE Inferno"
		"GAMEUI_Stat_RoundsMapDENuke"         "Раундів на мапі DE Nuke"
		"GAMEUI_Stat_RoundsMapDEPiranesi"     "Раундів на мапі DE Piranesi"
		"GAMEUI_Stat_RoundsMapDEPort"         "Раундів на мапі DE Port"
		"GAMEUI_Stat_RoundsMapDEProdigy"      "Раундів на мапі DE Prodigy"
		"GAMEUI_Stat_RoundsMapDETides"        "Раундів на мапі DE Tides"
		"GAMEUI_Stat_RoundsMapDETrain"        "Раундів на мапі DE Train"
		"GAMEUI_Stat_RoundsMapDEBoathouse"	  "Раундів на мапі DE Boathouse"
		"GAMEUI_Stat_RoundsMapDEHouse"		  "Раундів на мапі DE House"
		"GAMEUI_Stat_RoundsMapDEMill"		  "Раундів на мапі DE Mill"
		"GAMEUI_Stat_RoundsMapDEShacks"		  "Раундів на мапі DE Shacks"
		"GAMEUI_Stat_RoundsMapDEBank"		  "Раундів на мапі DE Bank"
		"GAMEUI_Stat_RoundsMapDEAlleyway"	  "Раундів на мапі DE Alleyway"
		"GAMEUI_Stat_RoundsMapDEDepot"		  "Раундів на мапі DE Depot"

		"GAMEUI_Stat_WeaponsDonated"        "Подаровано зброї"
		"GAMEUI_Stat_NumBrokenWindows"      "Вибитих вікон"
		"GAMEUI_Stat_BlindedEnemyKills"     "Вбито осліплених ворогів"
		"GAMEUI_Stat_KnifeFightKills"       "Виграно боїв на ножах"
		"GAMEUI_Stat_ZoomedSniperKills"     "Вбито націлених снайперів"
		"GAMEUI_Stat_NightvisionDamage"     "Завдано уражень з нічним зором"
		"GAMEUI_Stat_Dominations"           "Панувань"
		"GAMEUI_Stat_DominationOverkills"   "Серія переваг"
		"GAMEUI_Stat_Revenges"              "Помст"
		"GAMEUI_Stat_MVPs"                  "Зірок"

		"GameUI_Stat_LastMatch"			"Останній матч"
		"GameUI_Stat_LastMatch_TWins"		"Перемог терористів у останньому матчі"
		"GameUI_Stat_LastMatch_CTWins"		"Перемог спецпризначенців в останньому матчі"
		"GameUI_Stat_LastMatch_RoundsWon"	"Виграно раундів в останньому матчі"
		"GameUI_Stat_LastMatch_MaxPlayers"	"Максимум гравців у останньому матчі"
		"GameUI_Stat_LastMatch_Kills"		"Вбивств за останній матч"
		"GameUI_Stat_LastMatch_Deaths"		"Смертей за останній матч"
		"GameUI_Stat_LastMatch_MVPS"		"Здобуто зірок в останньому матчі"
		"GameUI_Stat_LastMatch_FavWeapon"	"Улюблена зброя в останньому матчі"
		"GameUI_Stat_LastMatch_FavWeaponShots"	"Пострілів з улюбленої зброї в останньому матчі"
		"GameUI_Stat_LastMatch_FavWeaponHits"	"Влучень з улюбленої зброї в останньому матчі"
		"GameUI_Stat_LastMatch_FavWeaponKills"	"Вбито з улюбленої зброї останнього матчу"
		"GameUI_Stat_LastMatch_Damage"		"Завдано уражень останнього матчу"
		"GameUI_Stat_LastMatch_MoneySpent"	"Витрачено грошей останнього матчу"
		"GameUI_Stat_LastMatch_Dominations"	"Панувань в останньому матчі"
		"GameUI_Stat_LastMatch_Revenges"	"Помст в останньому матчі"

		"GameUI_Stats_KillHistory"		"Статистика вбивств"
		"GameUI_Stats_RoundsPlayed"		"Зіграно раундів"
		"GameUI_Stats_RoundsWon"		"Виграно раундів"
		"GameUI_Stats_WinRatio"			"Відсоток перемог"
		"GameUI_Stats_ShotsFired"		"Зроблено пострілів"
		"GameUI_Stats_ShotsHit"			"Влучних пострілів"
		"GameUI_Stats_HitRatio"			"Відсоток влучень"
		"GameUI_Stats_Kills"			"Вбивств"
		"GameUI_Stats_KillRatio"		"Відсоток убивств"
		"GameUI_Stats_DeathsRatio"		"Смертей"
		"GameUI_Stats_KillDeathRatio"		"Відн. убивств/смертей"
		"GameUI_Stats_FavoriteWeapon"		"Улюблена зброя"
		"GameUI_Stats_WeaponShotsFired"		"Пострілів: %s1"
		"GameUI_Stats_WeaponShotsHit"		"Влучень: %s1"
		"GameUI_Stats_WeaponKills"		"Вбито: %s1"
		"GameUI_Stats_WeaponKillRatio"		"Убивств за постріл: %s1"
		"GameUI_Stats_FavoriteMap"		"Улюблена мапа"
		"GameUI_Stats_MapPlayed"		"Зіграно: %s1"
		"GameUI_Stats_MapWins"			"Виграшів: %s1"
		"GameUI_Stats_MapWinRatio"		"Відсоток виграшів: %s1"
		"GameUI_Stats_FunFactTime"		"%s1-%s2-%s3 %s4:%s5"
		"GameUI_Stats_RecentAchievements"	"Останні досягнення"

		"GameUI_Stats_LastMatch_TWins"		"Виграшів терористів: %s1"
		"GameUI_Stats_LastMatch_CTWins"		"Перемог спецпризначенців: %s1"
		"GameUI_Stats_LastMatch_RoundsWon"	"Виграно раундів: %s1"
		"GameUI_Stats_LastMatch_MaxPlayers"	"Максимум гравців: %s1"
		"GameUI_Stats_LastMatch_Deaths"		"Смертей: %s1"
		"GameUI_Stats_LastMatch_KDRatio"	"Співвід. вбивств/смертей: %s1"
		"GameUI_Stats_LastMatch_MVPS"		"Зірок: %s1"
